2026-03-25 15:06:13,296 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:13,302 | INFO | update_table_hist |  В banking.passport_blacklist_hist добавлены строчки
2026-03-25 15:06:13,302 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:13,341 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:13,345 | INFO | create_scd2_structure | SCD2 структура для terminals создана успешно
2026-03-25 15:06:13,345 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:13,407 | INFO | safe_load_to_sql | Успешно загружено: banking.tmp_terminals
2026-03-25 15:06:13,417 | INFO | move_to_archive | Файл перемещен в архив: archive\terminals_03032021.xlsx.backup
2026-03-25 15:06:13,447 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:13,453 | INFO | create_new_rows | banking.tmp_terminals_new_rows создана успешно
2026-03-25 15:06:13,453 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:13,483 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:13,489 | INFO | create_deleted_rows | banking.tmp_terminals_deleted_rows создана успешно
2026-03-25 15:06:13,490 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:13,636 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:13,642 | INFO | create_updated_rows | banking.tmp_terminals_updated_rows создана успешно
2026-03-25 15:06:13,642 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:13,787 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:13,793 | INFO | update_table_hist |  В banking.terminals_hist добавлены строчки
2026-03-25 15:06:13,794 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:13,829 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:13,831 | INFO | create_scd1_structure | SCD1 структура для transactions создана успешно
2026-03-25 15:06:13,831 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:14,271 | INFO | safe_load_to_sql | Успешно загружено: banking.tmp_transactions
2026-03-25 15:06:14,282 | INFO | move_to_archive | Файл перемещен в архив: archive\transactions_03032021.txt.backup
2026-03-25 15:06:14,312 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:14,375 | INFO | transfer_data_to_main_table | Перенесено 15780 строк из tmp_transactions в transactions
2026-03-25 15:06:14,375 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:14,405 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:14,553 | INFO | sql2sql | Файл fraud_report.sql успешно выполнен
2026-03-25 15:06:14,553 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:14,586 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:14,617 | INFO | drop_tmp_tables | Таблицы tmp_ успешно удалены
2026-03-25 15:06:14,618 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:07:49,796 | INFO | unzip_file | Архив data.zip распакован в data
2026-03-25 15:07:49,843 | INFO | create_cschema | Схема banking успешно создана
2026-03-25 15:07:50,023 | INFO | sql2sql | Файл ddl_dml.sql успешно выполнен
2026-03-25 15:07:50,062 | INFO | create_scd2_structure | SCD2 структура для passport_blacklist создана успешно
2026-03-25 15:07:50,152 | INFO | safe_load_to_sql | Успешно загружено: banking.tmp_passport_blacklist
2026-03-25 15:07:50,161 | INFO | move_to_archive | Файл перемещен в архив: archive\passport_blacklist_01032021.xlsx.backup
2026-03-25 15:07:50,201 | INFO | create_new_rows | banking.tmp_passport_blacklist_new_rows создана успешно
